;Match_ID;Unique_Team_ID;Unique_Team;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;TeamScores
515;1327;17;Stuttgart;2011-09-16;Freiburg;Stuttgart;1;2;A;2.0
516;1224;17;Stuttgart;2011-09-23;Stuttgart;Hamburg;1;2;A;1.0
517;1319;17;Stuttgart;2011-09-30;Kaiserslautern;Stuttgart;0;2;A;2.0
518;1641;17;Stuttgart;2011-10-15;Stuttgart;Hoffenheim;2;0;H;2.0
519;1320;17;Stuttgart;2011-10-22;Nurnberg;Stuttgart;2;2;D;2.0
520;1114;17;Stuttgart;2011-10-29;Stuttgart;Dortmund;1;1;D;1.0
521;1314;17;Stuttgart;2011-11-04;Mainz;Stuttgart;3;1;H;1.0
522;1621;17;Stuttgart;2011-11-20;Stuttgart;Augsburg;2;1;H;2.0
523;1329;17;Stuttgart;2011-11-27;Werder Bremen;Stuttgart;2;0;H;0.0
524;1177;17;Stuttgart;2011-12-03;Stuttgart;FC Koln;2;2;D;2.0
525;1093;17;Stuttgart;2011-12-11;Stuttgart;Bayern Munich;1;2;A;1.0
526;1313;17;Stuttgart;2011-12-17;Wolfsburg;Stuttgart;1;0;H;0.0
527;1315;17;Stuttgart;2012-01-21;Schalke 04;Stuttgart;3;1;H;1.0
528;1496;17;Stuttgart;2012-01-29;Stuttgart;M'gladbach;0;3;A;0.0
529;1318;17;Stuttgart;2012-02-04;Leverkusen;Stuttgart;2;2;D;2.0
530;1406;17;Stuttgart;2012-02-11;Stuttgart;Hertha;5;0;H;5.0
531;1326;17;Stuttgart;2012-02-19;Hannover;Stuttgart;4;2;H;2.0
532;1204;17;Stuttgart;2012-02-25;Stuttgart;Freiburg;4;1;H;4.0
533;1323;17;Stuttgart;2012-03-03;Hamburg;Stuttgart;0;4;A;4.0
534;1241;17;Stuttgart;2012-03-09;Stuttgart;Kaiserslautern;0;0;D;0.0
535;1321;17;Stuttgart;2012-03-16;Hoffenheim;Stuttgart;1;2;A;2.0
536;1287;17;Stuttgart;2012-03-25;Stuttgart;Nurnberg;1;0;H;1.0
537;1317;17;Stuttgart;2012-03-30;Dortmund;Stuttgart;4;4;D;4.0
538;1423;17;Stuttgart;2012-04-07;Stuttgart;Mainz;4;1;H;4.0
539;1322;17;Stuttgart;2012-04-10;Augsburg;Stuttgart;1;3;A;3.0
540;1334;17;Stuttgart;2012-04-13;Stuttgart;Werder Bremen;4;1;H;4.0
541;1328;17;Stuttgart;2012-04-21;FC Koln;Stuttgart;1;1;D;1.0
542;1324;17;Stuttgart;2012-04-28;Bayern Munich;Stuttgart;2;0;H;0.0
543;1474;17;Stuttgart;2012-05-05;Stuttgart;Wolfsburg;3;2;H;3.0
544;1648;18;Hannover;2011-08-06;Hannover;Hoffenheim;2;1;H;2.0
545;1371;18;Hannover;2011-08-13;Nurnberg;Hannover;1;2;A;2.0
546;1404;18;Hannover;2011-08-21;Hannover;Hertha;1;1;D;1.0
547;1427;18;Hannover;2011-08-28;Hannover;Mainz;1;1;D;1.0
548;1379;18;Hannover;2011-09-10;Stuttgart;Hannover;3;0;H;0.0
549;1118;18;Hannover;2011-09-18;Hannover;Dortmund;2;1;H;2.0
550;1368;18;Hannover;2011-09-24;Augsburg;Hannover;0;0;D;0.0
551;1331;18;Hannover;2011-10-02;Hannover;Werder Bremen;3;2;H;3.0
552;1367;18;Hannover;2011-10-16;FC Koln;Hannover;2;0;H;0.0
553;1101;18;Hannover;2011-10-23;Hannover;Bayern Munich;2;1;H;2.0
554;1378;18;Hannover;2011-10-29;M'gladbach;Hannover;2;1;H;1.0
555;1300;18;Hannover;2011-11-06;Hannover;Schalke 04;2;2;D;2.0
556;1365;18;Hannover;2011-11-19;Wolfsburg;Hannover;4;1;H;1.0
557;1222;18;Hannover;2011-11-26;Hannover;Hamburg;1;1;D;1.0
558;1380;18;Hannover;2011-12-03;Freiburg;Hannover;1;1;D;1.0
559;1275;18;Hannover;2011-12-10;Hannover;Leverkusen;0;0;D;0.0
560;1370;18;Hannover;2011-12-18;Kaiserslautern;Hannover;1;1;D;1.0
561;1375;18;Hannover;2012-01-21;Hoffenheim;Hannover;0;0;D;0.0
562;1280;18;Hannover;2012-01-27;Hannover;Nurnberg;1;0;H;1.0
563;1377;18;Hannover;2012-02-04;Hertha;Hannover;0;1;A;1.0
564;1374;18;Hannover;2012-02-11;Mainz;Hannover;1;1;D;1.0
565;1326;18;Hannover;2012-02-19;Hannover;Stuttgart;4;2;H;4.0
566;1373;18;Hannover;2012-02-26;Dortmund;Hannover;3;1;H;1.0
567;1628;18;Hannover;2012-03-03;Hannover;Augsburg;2;2;D;2.0
568;1376;18;Hannover;2012-03-11;Werder Bremen;Hannover;3;0;H;0.0
569;1193;18;Hannover;2012-03-18;Hannover;FC Koln;4;1;H;4.0
570;1364;18;Hannover;2012-03-24;Bayern Munich;Hannover;2;1;H;1.0
571;1490;18;Hannover;2012-04-01;Hannover;M'gladbach;2;1;H;2.0
572;1369;18;Hannover;2012-04-08;Schalke 04;Hannover;3;0;H;0.0
573;1480;18;Hannover;2012-04-11;Hannover;Wolfsburg;2;0;H;2.0
574;1366;18;Hannover;2012-04-14;Hamburg;Hannover;1;0;H;0.0
575;1198;18;Hannover;2012-04-22;Hannover;Freiburg;0;0;D;0.0
576;1372;18;Hannover;2012-04-28;Leverkusen;Hannover;1;0;H;0.0
577;1229;18;Hannover;2012-05-05;Hannover;Kaiserslautern;2;1;H;2.0
578;1678;19;Ingolstadt;2011-07-16;St Pauli;Ingolstadt;2;0;H;0.0
579;1596;19;Ingolstadt;2011-07-22;Ingolstadt;Erzgebirge Aue;0;0;D;0.0
580;1684;19;Ingolstadt;2011-08-05;Fortuna Dusseldorf;Ingolstadt;4;1;H;1.0
581;1660;19;Ingolstadt;2011-08-14;Ingolstadt;Frankfurt FSV;1;1;D;1.0
582;1674;19;Ingolstadt;2011-08-19;Greuther Furth;Ingolstadt;3;0;H;0.0
583;1394;19;Ingolstadt;2011-08-26;Ingolstadt;Hansa Rostock;3;1;H;3.0
584;1677;19;Ingolstadt;2011-09-11;Union Berlin;Ingolstadt;4;1;H;1.0
585;1132;19;Ingolstadt;2011-09-16;Ingolstadt;Dresden;4;2;H;4.0
586;1680;19;Ingolstadt;2011-09-23;Paderborn;Ingolstadt;4;1;H;1.0
587;1363;19;Ingolstadt;2011-10-01;Ingolstadt;Bochum;3;5;A;3.0
588;1672;19;Ingolstadt;2011-10-15;Duisburg;Ingolstadt;3;1;H;1.0
589;1682;19;Ingolstadt;2011-10-23;Aachen;Ingolstadt;3;1;H;1.0
590;1169;19;Ingolstadt;2011-10-30;Ingolstadt;Ein Frankfurt;1;1;D;1.0
591;1673;19;Ingolstadt;2011-11-04;Karlsruhe;Ingolstadt;3;2;H;2.0
592;1447;19;Ingolstadt;2011-11-18;Ingolstadt;Munich 1860;0;1;A;0.0
593;1671;19;Ingolstadt;2011-11-27;Cottbus;Ingolstadt;0;0;D;0.0
594;1582;19;Ingolstadt;2011-12-02;Ingolstadt;Braunschweig;0;1;A;0.0
595;1456;19;Ingolstadt;2011-12-11;Ingolstadt;St Pauli;1;0;H;1.0
596;1676;19;Ingolstadt;2011-12-16;Erzgebirge Aue;Ingolstadt;1;1;D;1.0
